OTU	k	p	c	o	f	g	s	OTU_lowest	Gut1	Gut2	Gut3	Gut4	Gut5	Gut6	percReads
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__cryoconitis	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	cryoconitis	Pedobacter cryoconitis	3	0	0	0	0	0	0.002401364
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium		g__Sphingobacterium	0	0	0	3	0	41	0.035220005
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__faecium	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	faecium	Sphingobacterium faecium	14	0	0	0	0	0	0.011206365
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__	Bacteria	Cyanobacteria	Chloroplast	Streptophyta				o__Streptophyta	0	0	0	0	0	115	0.092052286
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__flexus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	flexus	Bacillus flexus	0	0	0	0	12	0	0.009605456
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		g__Paenibacillus	0	0	0	0	0	38	0.030417277
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__amylolyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	amylolyticus	Paenibacillus amylolyticus	0	0	0	0	0	10	0.008004547
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__boronitolerans	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	boronitolerans	Lysinibacillus boronitolerans	0	0	0	11	0	0	0.008805001
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;__	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus		g__Staphylococcus	0	0	0	0	0	6	0.004802728
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__	Bacteria	Firmicutes	Bacilli	Lactobacillales				o__Lactobacillales	0	0	38	47	7	75	0.133675928
